"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_pall"
24003750203,"Baltimore, MD",0.3305
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.326
24005441000,"Baltimore, MD",0.3235
24005421000,"Dundalk, MD",0.3235
24510271900,"Glen, Baltimore, MD",0.322
24510010500,"Upper Fells Point, Baltimore, MD",0.3187
24510040100,"Downtown, Baltimore, MD",0.3144
24005491402,"Parkville, MD",0.3128
24510230300,"South Baltimore, Baltimore, MD",0.3104
24510140100,"Bolton Hill, Baltimore, MD",0.3092
24510130806,"Woodberry, Baltimore, MD",0.3072
24003750803,"Glen Burnie, MD",0.3054
24510280302,"West Forest Park, Baltimore, MD",0.3043
24003750102,"Baltimore, MD",0.3035
24510270801,"Idlewood, Baltimore, MD",0.3029
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.3024
24510230200,"South Baltimore, Baltimore, MD",0.3009
24510020200,"Upper Fells Point, Baltimore, MD",0.3004
24510020100,"Upper Fells Point, Baltimore, MD",0.2998
24510261100,"Canton, Baltimore, MD",0.299
24510270401,"Glenham-Belford, Baltimore, MD",0.2975
24510120201,"Baltimore, MD",0.2957
24003750101,"Brooklyn Park, MD",0.2952
24003730203,"Glen Burnie, MD",0.295
24005450400,"Essex, MD",0.2948
24510270102,"Waltherson, Baltimore, MD",0.294
24510010200,"Patterson Park, Baltimore, MD",0.2925
24510260605,"Medford - Broening, Baltimore, MD",0.2916
24510260401,"Armistead Gardens, Baltimore, MD",0.2884
24510280401,"Baltimore, MD",0.2867
24510280403,"Westgate, Baltimore, MD",0.2863
24005492300,"Essex, MD",0.2814
24510010300,"Canton, Baltimore, MD",0.2778
24005401101,"Woodlawn, MD",0.2628
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.262
24510270200,"Lauraville, Baltimore, MD",0.26
24510130700,"Hampden, Baltimore, MD",0.2571
24510240100,"Locust Point, Baltimore, MD",0.2557
24510270101,"Arcadia, Baltimore, MD",0.255
24510250401,"Brooklyn, Baltimore, MD",0.2542
24005452400,"Dundalk, MD",0.252
24005420402,"Dundalk, MD",0.2515
24510250206,"Morrell Park, Baltimore, MD",0.2483
24005420401,"Dundalk, MD",0.2482
24003750201,"Brooklyn, Baltimore, MD",0.2466
24005402403,"Gwynn Oak, Baltimore, MD",0.2466
24005401301,"Woodlawn, MD",0.2455
24003730204,"Glen Burnie, MD",0.2444
24510272006,"Glen, Baltimore, MD",0.2443
24510270804,"Lake Walker, Baltimore, MD",0.2433
24510240400,"Riverside Park, Baltimore, MD",0.2416
24005420301,"Dundalk, MD",0.2415
24005420100,"Dundalk, MD",0.2406
24510230100,"Baltimore, MD",0.24
24510130805,"Cold Springs, Baltimore, MD",0.2398
24510010100,"Canton, Baltimore, MD",0.2322
24510260700,"Fifteenth Street, Baltimore, MD",0.2309
24005440701,"Rosedale, MD",0.2305
24005401302,"Gwynn Oak, Baltimore, MD",0.2295
24005430900,"Baltimore, MD",0.2272
24510270402,"Glenham-Belford, Baltimore, MD",0.2269
24005420600,"Baltimore, MD",0.2248
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.2229
24003750202,"Brooklyn Park, MD",0.2199
24003751102,"Glen Burnie, MD",0.2199
24510270301,"Lauraville, Baltimore, MD",0.2176
24005421101,"Baltimore, MD",0.2154
24005403402,"Pikesville, MD",0.215
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.2145
24003730300,"Glen Burnie, MD",0.2128
24005452500,"Dundalk, MD",0.2127
24005452300,"Baltimore, MD",0.2114
24005420900,"Dundalk, MD",0.2104
24510010400,"Canton, Baltimore, MD",0.2088
24510240300,"Riverside, Baltimore, MD",0.2073
24003751000,"Glen Burnie, MD",0.2065
24005401200,"Woodlawn, MD",0.2037
24005420701,"Dundalk, MD",0.2018
24510270302,"Waltherson, Baltimore, MD",0.2016
24510272007,"Fallstaff, Baltimore, MD",0.1974
24005450100,"Rosedale, MD",0.1959
24005450200,"Essex, MD",0.1957
24003750300,"Linthicum Heights, MD",0.1942
24510240200,"Riverside, Baltimore, MD",0.1923
24005440400,"Baltimore, MD",0.1912
24510260501,"Joseph Lee, Baltimore, MD",0.19
24003750900,"Glen Burnie, MD",0.1898
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1883
24005400702,"Baltimore, MD",0.1872
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1859
24005403201,"Gwynn Oak, Lochearn, MD",0.1839
24005420800,"Dundalk, MD",0.183
24005492102,"Parkville, MD",0.1829
24005441102,"Rosedale, MD",0.1787
24510250103,"Violetville, Baltimore, MD",0.1781
24003751103,"Glen Burnie, MD",0.1749
24510260900,"Baltimore, MD",0.1749
24005430400,"Halethorpe, MD",0.1738
24005420302,"Dundalk, MD",0.1737
24005420702,"Dundalk, MD",0.172
24005440702,"Rosedale, MD",0.1695
24005421102,"Dundalk, MD",0.1687
24510270502,"North Harford Road, Baltimore, MD",0.1679
24510130803,"Medfield, Baltimore, MD",0.1646
24005451200,"Middle River, MD",0.1641
24005420500,"Baltimore, MD",0.1637
24003730401,"Glen Burnie, MD",0.1635
24510270501,"Woodring, Baltimore, MD",0.1627
24005440500,"Nottingham, MD",0.1597
24003740102,"Hanover, MD",0.1595
24003740201,"South Gate, Glen Burnie, MD",0.1587
24005492002,"Parkville, MD",0.1586
24005440900,"Rosedale, MD",0.1582
24005491500,"Parkville, MD",0.1581
24510220100,"Baltimore, MD",0.1576
24005403300,"Lochearn, Pikesville, MD",0.1543
24005430800,"Halethorpe, MD",0.1535
24005400701,"Catonsville, MD",0.15
24003750801,"Glen Burnie, MD",0.1491
24510020300,"Fells Point, Baltimore, MD",0.1467
24005421200,"Dundalk, MD",0.1466
24005420303,"Dundalk, MD",0.146
24005440800,"Rosedale, MD",0.1457
24510271101,"Radnor - Winston, Baltimore, MD",0.1457
24003731308,"Pasadena, MD",0.1434
24005491201,"Towson, MD",0.1431
24510272003,"Baltimore, MD",0.1422
24027601204,"Elkridge, MD",0.1403
24005411407,"Parkville, MD",0.1352
24005440300,"Nottingham, MD",0.1343
24003740103,"Hanover, MD",0.1318
24003731309,"Riviera Beach, MD",0.1295
24005441101,"Rosedale, MD",0.1281
24005430700,"Halethorpe, MD",0.1271
24510270703,"North Harford Road, Baltimore, MD",0.125
24005450300,"Essex, MD",0.1237
24003750804,"Glen Burnie, MD",0.1231
24005491600,"Parkville, MD",0.1223
24005491300,"Baltimore, MD",0.1215
24005492101,"Parkville, MD",0.1209
24003731306,"Pasadena, MD",0.1208
24005403401,"Pikesville, MD",0.119
24005491900,"Parkville, MD",0.1187
24005411408,"Nottingham, MD",0.118
24003751200,"Linthicum Heights, MD",0.1149
24005411306,"Nottingham, MD",0.114
24005440200,"Nottingham, MD",0.1123
24005420200,"Dundalk, MD",0.1114
24005400100,"Catonsville, MD",0.1113
24005440600,"Rosedale, MD",0.1082
24003751400,"Severn, MD",0.1082
24005400200,"Catonsville, MD",0.1049
24027601201,"Elkridge, MD",0.1003
24003750400,"Linthicum Heights, MD",0.0965
24005492001,"Parkville, MD",0.096
24510271102,"Mid-Charles, Baltimore, MD",0.0933
24005411307,"Nottingham, MD",0.0921
24005491100,"Baltimore, MD",0.0906
24005400600,"Catonsville, MD",0.0904
24510120202,"Baltimore, MD",0.0881
24005440100,"Baltimore, MD",0.0742
24005430600,"Relay, Halethorpe, MD",0.0723
24005411410,"Parkville, MD",0.0679
24005491701,"Parkville, MD",0.0643
24005411303,"Nottingham, MD",0.0633
24005490900,"Towson, MD",0.062
24005492200,"Parkville, MD",0.0594
24510272005,"Cross Country, Baltimore, MD",0.0585
24005411404,"Parkville, MD",0.0558
24005411308,"Nottingham, MD",0.0554
24005411406,"Nottingham, MD",0.0514
24005400400,"Catonsville, MD",0.0492
24510272004,"Cheswolde, Baltimore, MD",0.0437
24005490800,"Towson, MD",0.0427
24027601104,"Ellicott City, MD",0.0413
24005490400,"Towson, MD",0.0373
24005491202,"Towson, MD",0.036
24005490602,"Baltimore, MD",0.0358
24005403602,"Baltimore, MD",0.0316
24005490701,"Towson, MD",0.0258
24005403500,"Pikesville, MD",0.0254
24510271200,"Homeland, Baltimore, MD",0.0251
24510271400,"Evergreen, Baltimore, MD",0.0179
24005490500,"Towson, MD",0.0167
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.0166
24510271300,"Roland Park, Baltimore, MD",0.0108
24005490601,"Baltimore, MD",0.01
24510271501,"Mount Washington, Baltimore, MD",0.0098
24005490603,"Baltimore, MD",0.0075
24005403802,"Pikesville, MD",0.0072
24005490703,"Towson, MD",0.0068
24005403601,"Baltimore, MD",0.0063
24005403803,"Pikesville, MD",0.0052
24005491000,"Baltimore, MD",0
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
